age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference
201.3,,,2385,mean,1192,4769,1,skew_normal,paleosols,"Schaller et al., 2011"
201.4,,,2389,mean,1195,4779,1,skew_normal,paleosols,"Schaller et al., 2011"
201.5,,,2819,mean,1409,5637,1,skew_normal,paleosols,"Schaller et al., 2011"
201.5,,,2956,mean,1478,5912,1,skew_normal,paleosols,"Schaller et al., 2011"
201.5,,,710,mean,355,1420,1,skew_normal,paleosols,"Schaller et al., 2011"
201.7,,,1191,mean,596,2383,1,skew_normal,paleosols,"Schaller et al., 2011"
201.8,,,1495,mean,747,2989,1,skew_normal,paleosols,"Schaller et al., 2011"
201.9,,,1502,mean,751,3004,1,skew_normal,paleosols,"Schaller et al., 2011"
202.1,,,1509,mean,754,3017,1,skew_normal,paleosols,"Schaller et al., 2011"
202.2,,,1065,mean,532,2129,1,skew_normal,paleosols,"Schaller et al., 2011"
202.5,,,1613,mean,806,3225,1,skew_normal,paleosols,"Schaller et al., 2011"
203,,,1487,mean,744,2975,1,skew_normal,paleosols,"Schaller et al., 2011"
203.1,,,1298,mean,649,2596,1,skew_normal,paleosols,"Schaller et al., 2011"
203.6,,,1021,mean,511,2043,1,skew_normal,paleosols,"Schaller et al., 2011"
203.7,,,1855,mean,927,3709,1,skew_normal,paleosols,"Schaller et al., 2011"
203.9,,,983,mean,492,1967,1,skew_normal,paleosols,"Schaller et al., 2011"
211.9,,,1183,mean,592,2367,1,skew_normal,paleosols,"Schaller et al., 2012"
211.9,,,1135,mean,568,2271,1,skew_normal,paleosols,"Schaller et al., 2012"
211.9,,,1479,mean,739,2957,1,skew_normal,paleosols,"Schaller et al., 2012"
211.9,,,1376,mean,688,2752,1,skew_normal,paleosols,"Schaller et al., 2012"
205,,,1377,mean,688,2753,1,skew_normal,paleosols,"Schaller et al., 2012"
201.3,,,3457,mean,1729,6915,1,skew_normal,paleosols,"Schaller et al., 2012"
201.2,,,2049,mean,1025,4099,1,skew_normal,paleosols,"Schaller et al., 2012"
200.8,,,1499,mean,750,2999,1,skew_normal,paleosols,"Schaller et al., 2012"
200.8,,,3649,mean,1824,7297,1,skew_normal,paleosols,"Schaller et al., 2012"
200.8,,,1987,mean,993,3973,1,skew_normal,paleosols,"Schaller et al., 2012"
200.8,,,2353,mean,1177,4707,1,skew_normal,paleosols,"Schaller et al., 2012"
200.8,,,2927,mean,1464,5855,1,skew_normal,paleosols,"Schaller et al., 2012"
200.8,,,3012,mean,1506,6024,1,skew_normal,paleosols,"Schaller et al., 2012"
200.7,,,2383,mean,1191,4765,1,skew_normal,paleosols,"Schaller et al., 2012"
200.7,,,1818,mean,909,3636,1,skew_normal,paleosols,"Schaller et al., 2012"
200.7,,,2013,mean,1006,4025,1,skew_normal,paleosols,"Schaller et al., 2012"
200.7,,,1874,mean,937,3748,1,skew_normal,paleosols,"Schaller et al., 2012"
200.7,,,2303,mean,1152,4607,1,skew_normal,paleosols,"Schaller et al., 2012"
200.7,,,1992,mean,996,3984,1,skew_normal,paleosols,"Schaller et al., 2012"
200.6,,,2048,mean,1024,4096,1,skew_normal,paleosols,"Schaller et al., 2012"
200.6,,,1545,mean,772,3089,1,skew_normal,paleosols,"Schaller et al., 2012"
200.6,,,2187,mean,1093,4373,1,skew_normal,paleosols,"Schaller et al., 2012"
200.6,,,1469,mean,735,2939,1,skew_normal,paleosols,"Schaller et al., 2012"
200.6,,,1697,mean,848,3393,1,skew_normal,paleosols,"Schaller et al., 2012"
200.5,,,2997,mean,1499,5995,1,skew_normal,paleosols,"Schaller et al., 2012"
200.5,,,2750,mean,1375,5500,1,skew_normal,paleosols,"Schaller et al., 2012"
200.5,,,3395,mean,1697,6789,1,skew_normal,paleosols,"Schaller et al., 2012"
200.4,,,1921,mean,961,3843,1,skew_normal,paleosols,"Schaller et al., 2012"
200.4,,,2002,mean,1001,4004,1,skew_normal,paleosols,"Schaller et al., 2012"
200.4,,,997,mean,499,1995,1,skew_normal,paleosols,"Schaller et al., 2012"
200.4,,,1411,mean,706,2823,1,skew_normal,paleosols,"Schaller et al., 2012"
200.3,,,1766,mean,883,3532,1,skew_normal,paleosols,"Schaller et al., 2012"
200.3,,,1811,mean,905,3621,1,skew_normal,paleosols,"Schaller et al., 2012"
200.2,,,1019,mean,509,2037,1,skew_normal,paleosols,"Schaller et al., 2012"
200.2,,,610,mean,305,1220,1,skew_normal,paleosols,"Schaller et al., 2012"
199.8,,,523,mean,262,1047,1,skew_normal,paleosols,"Schaller et al., 2012"
199,,,1179,mean,589,2357,1,skew_normal,paleosols,"Schaller et al., 2012"
127.9,129.4,126.3,393,mean,234,551,1,skew_normal,paleosols,"Huang et al., 2012"
137.9,139.4,136.4,174,mean,76,272,1,skew_normal,paleosols,"Huang et al., 2012"
143.5,145,142,232,mean,92,372,1,skew_normal,paleosols,"Huang et al., 2012"
83,,,1522,mean,761,3044,1,skew_normal,paleosols,"Hong & Lee, 2012"
98,,,1520,mean,760,3040,1,skew_normal,paleosols,"Hong & Lee, 2012"
100.5,,,1368,mean,684,2736,1,skew_normal,paleosols,"Hong & Lee, 2012"
102,,,1428,mean,714,2856,1,skew_normal,paleosols,"Hong & Lee, 2012"
103.5,,,1060,mean,530,2120,1,skew_normal,paleosols,"Hong & Lee, 2012"
113.5,,,449,mean,225,898,1,skew_normal,paleosols,"Hong & Lee, 2012"
157.8,163.5,152.1,558,mean,279,1115,1,skew_normal,paleosols,"Gutierrez & Sheldon, 2012"
