age,co2,co2_low,co2_high,xi_co2,omega_co2,alpha_co2
15,215,198,272,274.9303564,54.75689335,-2.16603475
15,187,172,235,237.0872951,46.32903893,-2.101853021
15,199,184,250,252.7375742,48.92505964,-2.185356864
15,202,186,253,255.1826637,49.24429508,-2.096509425
16,205,190,257,259.95185,49.78878411,-2.212405127
16,213,196,268,270.4966467,53.0260867,-2.11685885
16,176,162,220,221.7726093,42.5467987,-2.077298603
16,179,165,223,224.7726093,42.5467987,-2.077298603
16,238,220,301,304.6702763,60.26444089,-2.225790631
16,201,184,253,254.8366691,50.42385273,-2.040582959
17,220,202,278,280.5921733,55.94144396,-2.111315143
17,227,208,318,326.9069137,84.62732082,-2.687303977
17,232,214,293,296.2420974,58.53723728,-2.180812076
17,202,185,282,289.6852221,74.50565184,-2.660126382
17,200,182,279,285.9879939,74.00978069,-2.554048822
17,216,198,305,313.9936264,82.55380511,-2.736871563
17,210,192,294,301.9958559,78.28532384,-2.647266162
17,223,204,314,322.9069137,84.62732082,-2.687303977
18,231,213,323,332.5880378,85.11190481,-2.789051991
18,222,204,281,283.8099079,56.80741514,-2.134764009
18,211,193,296,304.1961683,79.1395521,-2.665463853
18,207,189,289,296.5940115,76.57601387,-2.610434881
18,213,195,297,304.9958559,78.28532384,-2.647266162
18,212,195,296,304.4829442,77.92009018,-2.735836943
18,215,197,299,306.9958559,78.28532384,-2.647266162
18,227,209,317,326.192098,83.40674063,-2.754391692
18,214,196,300,308.3960885,79.99350547,-2.683520322
18,197,181,275,282.7733757,72.43314796,-2.714788238
18,211,194,294,302.2840944,77.06688851,-2.717136243
18,215,198,299,307.4829442,77.92009018,-2.735836943
18,228,210,287,289.8099079,56.80741514,-2.134764009
18,252,232,318,321.2185411,63.50400085,-2.144062756
18,215,198,301,309.8795503,79.62572376,-2.772803525
18,216,198,301,309.1961683,79.1395521,-2.665463853
19,215,198,271,273.7140813,53.89186475,-2.141605747
19,232,214,294,297.456663,59.40115179,-2.203430567
19,216,199,272,274.7140813,53.89186475,-2.141605747
19,219,200,306,314.1053463,81.21018594,-2.618238044
19,230,211,291,293.6876417,58.85676394,-2.106341048
19,218,200,275,277.3732637,55.07471985,-2.087569168
19,230,211,322,331.1063885,85.48096172,-2.704255316
19,224,206,312,320.7948077,81.70062535,-2.719221403
19,209,192,291,299.0848651,76.21342012,-2.698286445
19,206,188,288,295.5940115,76.57601387,-2.610434881
20,250,229,353,363.3269239,95.60181903,-2.724277727
20,294,269,419,431.7668028,115.8426953,-2.754391692
20,248,228,315,318.4347873,64.36901077,-2.164820668
20,460,390,540,503.1828135,84.62740104,-0.685720433
20,208,191,263,265.4966467,53.0260867,-2.11685885
20,343,316,489,504.9567017,134.482081,-2.87913011
20,308,283,441,455.3458263,122.6600105,-2.852899811
20,272,250,383,394.4329507,102.794291,-2.768631413
21,208,191,262,264.2779841,52.15952042,-2.091781711
21,205,189,259,261.8340458,51.84102898,-2.175116052
21,301,276,428,441.1629258,117.5479886,-2.779397367
21,202,186,254,256.401052,50.11068569,-2.123076038
21,278,255,393,404.7454586,106.5752797,-2.754391692
21,240,220,305,308.0013149,62.63835711,-2.123076038
21,261,240,335,339.3884689,70.7399434,-2.235296484
22,305,280,435,448.755369,120.1047007,-2.816426144
22,250,230,353,363.8070124,95.23166309,-2.801066247
23,211,193,267,269.1531116,54.207205,-2.063514815
23,243,222,344,353.9285188,93.89491979,-2.693776065
24,257,236,328,331.7465921,68.14939625,-2.177559259
24,242,222,341,351.0149878,91.82123283,-2.738629384
24,287,263,410,422.8499187,113.7666479,-2.793349652
24,271,250,343,346.9613675,69.01344813,-2.196994887
24,256,237,324,328.1929652,64.90631873,-2.257137139
24,246,226,314,317.6500989,65.23341285,-2.185356864
24,222,204,282,285.0265301,57.67266863,-2.157926341
25,248,227,352,362.5256673,96.45494582,-2.739382339
25,392,361,570,590.3454988,163.2270275,-2.977042927
25,466,407,671,682.7103078,196.2387601,-2.215589588
25,749,634,1106,1119.584197,345.6487187,-2.060564831
25,331,305,428,434.5698375,92.2195142,-2.31607978
25,343,317,443,450.1967733,94.80010717,-2.359769385
25,294,270,377,381.6802051,79.48937549,-2.209044477
25,602,518,852,859.5264715,243.1185597,-2.003737449
25,351,312,495,504.5397651,137.0379484,-2.301308459
25,359,318,507,516.3153561,141.149853,-2.269237779
26,420,369,624,639.7435255,192.6945506,-2.416639592
26,419,369,578,584.7386464,153.5633452,-2.093295889
26,386,339,560,571.5936509,165.5456878,-2.305090005
27,367,324,510,517.1579911,137.4852794,-2.154711213
27,582,499,847,858.4183807,255.8339981,-2.098764618
27,535,462,772,782.9003577,228.4135054,-2.121630033
29,434,381,619,629.7003098,177.01378,-2.222011491
29,383,336,544,552.8352917,154.3352704,-2.1957601
29,504,438,740,754.5204196,225.2825436,-2.255880117
30,321,284,451,458.6509783,124.3083628,-2.231191441
30,457,401,714,738.0058816,239.8512192,-2.621678315
30,367,325,529,540.7216397,153.5353995,-2.363882831
