"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","xi_co2","omega_co2","alpha_co2"
"137",295.9,NA,NA,47,"mean",0,210,1,"skew_normal","paleosols","Monta_ez et al., 2007",219.263376161615,156.062412987687,-2.212976580004
"138",294.3,NA,NA,50,"mean",0,271,1,"skew_normal","paleosols","Monta_ez et al., 2007",290.726188555608,206.913964379465,-2.5646814957312
"139",293.1,NA,NA,208,"mean",0,468,1,"skew_normal","paleosols","Monta_ez et al., 2007",376.187071286955,275.460105166952,-0.848374173678191
"140",290.5,NA,NA,600,"mean",234,966,1,"skew_normal","paleosols","Monta_ez et al., 2007",605.770558122246,368.084847685222,-0.0196514390843019
"141",290.5,NA,NA,461,"mean",144,678,1,"skew_normal","paleosols","Monta_ez et al., 2007",216.019927863319,332.860723460419,1.08022827078945
"142",290.4,NA,NA,1700,"mean",530,2497,1,"skew_normal","paleosols","Monta_ez et al., 2007",792.072591121513,1228.036127704,1.08698683984999
"143",290.4,NA,NA,419,"mean",131,616,1,"skew_normal","paleosols","Monta_ez et al., 2007",196.289237819049,302.39081909059,1.08126739844069
"144",290.2,NA,NA,411,"mean",96,538,1,"skew_normal","paleosols","Monta_ez et al., 2007",99.2708442445235,312.461282108593,1.76417685336304
"145",289.9,NA,NA,620,"mean",102,770,1,"skew_normal","paleosols","Monta_ez et al., 2007",72.9091338613235,496.16099464766,2.20702532119503
"146",289.4,NA,NA,182,"mean",11,353,1,"skew_normal","paleosols","Monta_ez et al., 2007",182.578891544705,171.953957647622,-0.00421937212005663
"147",288.9,NA,NA,183,"mean",24,342,1,"skew_normal","paleosols","Monta_ez et al., 2007",183.234946987932,159.886280089175,-0.0018417012756447
"148",287.4,NA,NA,397,"mean",249,544,1,"skew_normal","paleosols","Monta_ez et al., 2007",369.064457566044,150.84221523829,0.234126352987371
"149",287,NA,NA,1030,"mean",676,1396,1,"skew_normal","paleosols","Monta_ez et al., 2007",1150.3386026438,379.714237468086,-0.407564391037967
"150",286.9,NA,NA,1449,"mean",899,1999,1,"skew_normal","paleosols","Monta_ez et al., 2007",1450.45477209595,553.06706486159,-0.00329669622635231
