"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","meanlog_co2","sdlog_co2"
"161",281.1,NA,NA,1248,"mean",759,1737,1,"skew_normal","paleosols","Monta_ez et al., 2007",7.04595827181837,0.416263475217909
"162",277.6,NA,NA,1237,"mean",788,1685,1,"skew_normal","paleosols","Monta_ez et al., 2007",7.04950946632217,0.382129181014435
"163",210.7,211.9,209.5,111,"mean",56,222,1,"skew_normal","paleosols","Cleveland et al., 2008",4.71401453630371,0.692500765689351
"164",211.8,214,209.5,544,"mean",272,1088,1,"skew_normal","paleosols","Cleveland et al., 2008",6.29894924685594,0.697010091893199
"165",211.8,214,209.5,643,"mean",322,1287,1,"skew_normal","paleosols","Cleveland et al., 2008",6.46731037657027,0.696619578085985
"168",210.7,211.9,209.5,372,"mean",186,743,1,"skew_normal","paleosols","Cleveland et al., 2008",5.91822135921548,0.696333849018542
"169",211.8,214,209.5,1667,"mean",833,3333,1,"skew_normal","paleosols","Cleveland et al., 2008",7.41833086023729,0.697160965563201
"170",211.8,214,209.5,1702,"mean",851,3404,1,"skew_normal","paleosols","Cleveland et al., 2008",7.43955930913332,0.697010091893198
"171",211.8,214,209.5,1596,"mean",798,3192,1,"skew_normal","paleosols","Cleveland et al., 2008",7.37525577800975,0.697010091893198
"172",210.7,211.9,209.5,344,"mean",172,688,1,"skew_normal","paleosols","Cleveland et al., 2008",5.8406416573734,0.697010091893199
"173",210.7,211.9,209.5,269,"mean",134,537,1,"skew_normal","paleosols","Cleveland et al., 2008",5.59191894722989,0.697947252465573
"174",210.7,211.9,209.5,377,"mean",189,754,1,"skew_normal","paleosols","Cleveland et al., 2008",5.9335696915338,0.695678206342134
"175",211.8,214,209.5,1443,"mean",721,2885,1,"skew_normal","paleosols","Cleveland et al., 2008",7.27395965811357,0.69718439818772
"176",211.8,214,209.5,1191,"mean",596,2383,1,"skew_normal","paleosols","Cleveland et al., 2008",7.08317807208205,0.696799147270212
"177",211.8,214,209.5,1349,"mean",674,2697,1,"skew_normal","paleosols","Cleveland et al., 2008",7.20656271702602,0.697196550824136
"178",211.8,214,209.5,1678,"mean",839,3356,1,"skew_normal","paleosols","Cleveland et al., 2008",7.42535788702715,0.697010091893199
"179",211.8,214,209.5,1295,"mean",648,2591,1,"skew_normal","paleosols","Cleveland et al., 2008",7.16684493845719,0.696816078191577
"180",211.8,214,209.5,1516,"mean",758,3032,1,"skew_normal","paleosols","Cleveland et al., 2008",7.32383056620232,0.697010091893198
"181",210.7,211.9,209.5,560,"mean",280,1119,1,"skew_normal","paleosols","Cleveland et al., 2008",6.32749015574059,0.696560974845459
"182",211.8,214,209.5,1367,"mean",684,2735,1,"skew_normal","paleosols","Cleveland et al., 2008",7.22092231623932,0.696826291305696
"183",205.4,209.5,201.3,1777,"mean",888,3553,1,"skew_normal","paleosols","Cleveland et al., 2008",7.4822596695066,0.697151622225312
"184",205.4,209.5,201.3,1702,"mean",851,3404,1,"skew_normal","paleosols","Cleveland et al., 2008",7.43955930913332,0.697010091893198
"185",205.4,209.5,201.3,1085,"mean",542,2169,1,"skew_normal","paleosols","Cleveland et al., 2008",6.98864375613326,0.697241951017212
"186",205.4,209.5,201.3,1191,"mean",596,2383,1,"skew_normal","paleosols","Cleveland et al., 2008",7.08317807208205,0.696799147270212
"187",205.4,209.5,201.3,863,"mean",431,1725,1,"skew_normal","paleosols","Cleveland et al., 2008",6.7595452097846,0.697301646845707
"188",205.4,209.5,201.3,661,"mean",331,1322,1,"skew_normal","paleosols","Cleveland et al., 2008",6.49450969789435,0.69625002145138
"189",205.4,209.5,201.3,1030,"mean",515,2060,1,"skew_normal","paleosols","Cleveland et al., 2008",6.93731408122368,0.697010091893199
"190",205.4,209.5,201.3,513,"mean",257,1026,1,"skew_normal","paleosols","Cleveland et al., 2008",6.24124955531297,0.696030955261434
"191",205.4,209.5,201.3,623,"mean",311,1245,1,"skew_normal","paleosols","Cleveland et al., 2008",6.43334186053902,0.697414098746203
"192",205.4,209.5,201.3,1557,"mean",778,3113,1,"skew_normal","paleosols","Cleveland et al., 2008",7.35003434731,0.697171629726399
"193",205.4,209.5,201.3,1202,"mean",601,2404,1,"skew_normal","paleosols","Cleveland et al., 2008",7.09174211509515,0.697010091893198
"194",205.4,209.5,201.3,1967,"mean",983,3933,1,"skew_normal","paleosols","Cleveland et al., 2008",7.58388344628949,0.69713794605829
"195",205.4,209.5,201.3,1783,"mean",891,3565,1,"skew_normal","paleosols","Cleveland et al., 2008",7.4856318801596,0.697151145759045
"196",205.4,209.5,201.3,880,"mean",440,1759,1,"skew_normal","paleosols","Cleveland et al., 2008",6.77963773582493,0.696724336556428
"197",205.4,209.5,201.3,843,"mean",422,1686,1,"skew_normal","paleosols","Cleveland et al., 2008",6.73755972629891,0.696414020096635
"198",205.4,209.5,201.3,1619,"mean",809,3237,1,"skew_normal","paleosols","Cleveland et al., 2008",7.38910058549237,0.697165440728518
