,age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
67,54.2,54.5,53.9,814,mean,407,1627,1,skew_normal,paleosols,"Royer et al., 2001b",1565.485187,826.4696656,-1.487913466
68,54.9,55.2,54.6,231,mean,115,462,1,skew_normal,paleosols,"Royer et al., 2001b",444.2656468,234.9094287,-1.483992045
69,56.2,56.5,55.9,461,mean,230,922,1,skew_normal,paleosols,"Royer et al., 2001b",886.9642056,468.687585,-1.486723774
70,56.5,56.8,56.2,487,mean,243,974,1,skew_normal,paleosols,"Royer et al., 2001b",937.0083747,495.1146732,-1.486870413
71,56.7,57,56.4,579,mean,290,1158,1,skew_normal,paleosols,"Royer et al., 2001b",1114.801511,588.3954379,-1.49166655
72,57.3,57.6,57,816,mean,408,1633,1,skew_normal,paleosols,"Royer et al., 2001b",1571.898067,830.304905,-1.491027226
73,57.7,58,57.4,474,mean,237,948,1,skew_normal,paleosols,"Royer et al., 2001b",912.3434387,481.7860219,-1.489473223
74,200.3,201.3,199.3,992,mean,496,1984,1,skew_normal,paleosols,"Tanner et al., 2001",1909.376986,1008.294797,-1.489473223
75,223.3,237,209.5,900,mean,450,1800,1,skew_normal,paleosols,"Tanner et al., 2001",1732.297668,914.7835859,-1.489473223
76,130.1,130.8,129.4,112,mean,56,224,1,skew_normal,paleosols,"Robinson et al., 2002",215.574821,113.8397351,-1.489473223
77,64.8,65,64.7,400,mean,200,800,1,skew_normal,paleosols,"Nordt et al., 2002",769.9100749,406.5704826,-1.489473223
78,65.3,65.7,65,340,mean,170,680,1,skew_normal,paleosols,"Nordt et al., 2002",654.4235636,345.5849102,-1.489473223
79,65.9,66.3,65.5,300,mean,150,600,1,skew_normal,paleosols,"Nordt et al., 2002",577.4325562,304.927862,-1.489473223
80,67.2,68.1,66.3,560,mean,280,1120,1,skew_normal,paleosols,"Nordt et al., 2002",1077.874105,569.1986757,-1.489473223
81,67.2,68.1,66.3,300,mean,150,600,1,skew_normal,paleosols,"Nordt et al., 2002",577.4325562,304.927862,-1.489473223
82,77.1,80,74.3,480,mean,240,960,1,skew_normal,paleosols,"Nordt et al., 2002",923.8920898,487.8845791,-1.489473223
83,65.2,66.2,64.2,178,mean,89,356,1,skew_normal,paleosols,"Nordt et al., 2003",342.6099833,180.9238648,-1.489473223
84,65.2,66.2,64.2,163,mean,81,326,1,skew_normal,paleosols,"Nordt et al., 2003",313.3807114,165.792339,-1.481712286
85,65.4,66.4,64.4,88,mean,44,176,1,skew_normal,paleosols,"Nordt et al., 2003",169.3802165,89.44550617,-1.489473223
86,65.6,66.6,64.6,111,mean,56,222,1,skew_normal,paleosols,"Nordt et al., 2003",214.0058336,112.7075406,-1.500955646
87,65.8,66.8,64.8,178,mean,89,355,1,skew_normal,paleosols,"Nordt et al., 2003",341.3276239,180.0223348,-1.482324448
88,65.9,66.9,64.9,54,mean,27,108,1,skew_normal,paleosols,"Nordt et al., 2003",103.9378601,54.88701515,-1.489473223
89,66.1,67.1,65.1,183,mean,92,366,1,skew_normal,paleosols,"Nordt et al., 2003",352.5900794,185.8904379,-1.496425655
90,66.2,67.2,65.2,277,mean,139,555,1,skew_normal,paleosols,"Nordt et al., 2003",534.79952,282.3351642,-1.498634323
91,66.4,67.4,65.4,90,mean,45,180,1,skew_normal,paleosols,"Nordt et al., 2003",173.2297668,91.47835859,-1.489473223
92,66.5,67.5,65.5,42,mean,21,85,1,skew_normal,paleosols,"Nordt et al., 2003",82.11939588,43.58971533,-1.519328488
93,66.6,67.6,65.6,15,mean,7,30,1,skew_normal,paleosols,"Nordt et al., 2003",28.50631406,15.35760651,-1.407485216
94,66.6,67.6,65.6,263,mean,132,527,1,skew_normal,paleosols,"Nordt et al., 2003",507.8525743,268.105152,-1.499121977
95,66.7,67.7,65.7,453,mean,226,906,1,skew_normal,paleosols,"Nordt et al., 2003",871.5659994,460.556173,-1.486675271
96,66.9,67.9,65.9,426,mean,213,852,1,skew_normal,paleosols,"Nordt et al., 2003",819.9542297,432.997564,-1.489473223
97,66.9,67.9,65.9,265,mean,133,531,1,skew_normal,paleosols,"Nordt et al., 2003",511.7021386,270.1380112,-1.499049158
98,67,68,66,219,mean,110,438,1,skew_normal,paleosols,"Nordt et al., 2003",421.8820959,222.4818347,-1.495280193
99,67,68,66,128,mean,64,257,1,skew_normal,paleosols,"Nordt et al., 2003",247.6519401,131.0032869,-1.499347236
